ASIN,Brand,HelpfulCounts,Images,PageUrl,ParentId,ProductLink,ProductTitle,ReviewContent,ReviewDate,ReviewScore,ReviewTitle,Reviewer,Verified
B07S5XBJV7,Natrol,169,,https://www.amazon.com/product-reviews/B07S5XBJV7?sortBy=helpful&reviewerType=all_reviews&filterByStar=all_stars&formatType=all_formats&mediaType=all_contents&pageNumber=1&language=en_US,REXPKYSAA9MK4,https://www.amazon.com/dp/B07S5XBJV7,"Natrol Fast Dissolve Melatonin 1 mg, Melatonin Supplements for Restful Sleep, Sleep Support for Adults, 200 Strawberry-Flavored Melatonin Tablets, Up to a 200 Day Supply","I'm 40, but have been dealing with sleep problems since I was about 14.  I have a sleep disorder that means I struggle...a lot...with sleep.  I've done multiple sleep studies, tried numerous RX sleep aids, OTC sleep aids, OTC antihistamines, RX antihistamines, muscle relaxants, beta blockers, alcohol, CBD, using RX stimulants in the morning...working with multiple therapists...walking my clock forward, walking my clock backward, strictly maintaining my sleep schedule, using sleep deprivation to try and reset my circadian rhythms (under the guidance of a sleep doctor), using bright light therapy, restricting blue light sources after 5pm, restricting ALL light sources after 5pm, using exercise and using meditation over the last 20+ years in various combinations to try and correct this problem.  Compounding the situation is the fact that I sleep walk and sleep talk somewhat frequently.  Sleeping is the bane of my existence.  If someone told me they could wave a magic wand and give me 10 million dollars or fix my sleep issues, I would chose sleep over money.I've tried using melatonin in the past, but the sleep doctors at the time had me taking a larger dose (about 10mg) 60-90min before lights out.  They have also had me try using time release melatonin - all to no avail.  In fact the larger the dose of melatonin the WORSE my sleep usually got.Back in January 2023 I started seeing a new sleep specialist.  He put me on a different combination of RXs, but on top of that, he asked me to use a very SMALL dose of melatonin (0.5 to 1.0mg) roughly 5 hours before bed.  Over time, we've been walking back the time I take the melatonin by 15min every 1-2 weeks.  For the first time EVER, I've gone 4.5 months with just 1 sleep walking episode, no car accidents, no oversleeping...just NORMAL sleep!!!  Some of this is because of his guidance, but a LOT of it is due to this product.  Everything else that I'm taking (the RX sleep meds) are things I've taken with very limited success in the past.Taste wise, this is a pretty delicious chewable strawberry flavored tablet.  It's a little more tart than sweet.  The consistency is reasonable and fairly soft.  The taste is good enough that a number of times I've been tempted to have more than one - just because they ARE that tasty and enjoyable!So you combine a product that is VERY affordable, tastes really good, has a tolerable consistency AND WORKS WELL - there literally is no downside to this melatonin supplement.  My advice is just to stick to the small dose size, take it 5-6 hours before you want to be asleep and give it a few weeks of consistent use to see if it works for you, too.","April 18, 2023",5.0,Really tasty AND effective sleep aid,Keith,True
B07S5XBJV7,Natrol,6,,https://www.amazon.com/product-reviews/B07S5XBJV7?sortBy=helpful&reviewerType=all_reviews&filterByStar=all_stars&formatType=all_formats&mediaType=all_contents&pageNumber=1&language=en_US,RRB1I75XPC9YR,https://www.amazon.com/dp/B07S5XBJV7,"Natrol Fast Dissolve Melatonin 1 mg, Melatonin Supplements for Restful Sleep, Sleep Support for Adults, 200 Strawberry-Flavored Melatonin Tablets, Up to a 200 Day Supply",Fast acting. Great tasting.  No nightmares.  It works very well to get a good start on a full night of rest.,"September 14, 2024",5.0,The best melatonin out there,Amber,True
B07S5XBJV7,Natrol,2,,https://www.amazon.com/product-reviews/B07S5XBJV7?sortBy=helpful&reviewerType=all_reviews&filterByStar=all_stars&formatType=all_formats&mediaType=all_contents&pageNumber=1&language=en_US,R2N9V68KO8YQEN,https://www.amazon.com/dp/B07S5XBJV7,"Natrol Fast Dissolve Melatonin 1 mg, Melatonin Supplements for Restful Sleep, Sleep Support for Adults, 200 Strawberry-Flavored Melatonin Tablets, Up to a 200 Day Supply","They dissolve easily, taste good, and are effective. It's nice that they are just 1mg, because it allows me to fine tune the dosage.","November 1, 2024",5.0,Really helpful on those nights that sleep just won't come.,Brandon W,True
B07S5XBJV7,Natrol,7,,https://www.amazon.com/product-reviews/B07S5XBJV7?sortBy=helpful&reviewerType=all_reviews&filterByStar=all_stars&formatType=all_formats&mediaType=all_contents&pageNumber=1&language=en_US,R1AD63KS98B5QM,https://www.amazon.com/dp/B07S5XBJV7,"Natrol Fast Dissolve Melatonin 1 mg, Melatonin Supplements for Restful Sleep, Sleep Support for Adults, 200 Strawberry-Flavored Melatonin Tablets, Up to a 200 Day Supply","This is great for helping me or my kiddo fall asleep. They easily break in half to do an even smaller dose. The recommendation to avoid side effects is to use the lowest effective dose, and this makes that easy. I get headaches at the dose for most adult melatonin supplements. Most people only need .5-1mg, and having a low dose pill makes it easy to just take a little more if needed to find the dose that works well for your body.As an added bonus, both my kiddo and I really like the flavor, and the dissolving tabs are fast acting!We don't use it often, but this is a lifesaver for resetting sleep schedules for time zones or daylight savings, or for recovering from sleep disruption.","September 4, 2024",5.0,Love the low dose,Amy Katharine,True
B07S5XBJV7,Natrol,1,,https://www.amazon.com/product-reviews/B07S5XBJV7?sortBy=helpful&reviewerType=all_reviews&filterByStar=all_stars&formatType=all_formats&mediaType=all_contents&pageNumber=1&language=en_US,R3ABDA16IHCZA7,https://www.amazon.com/dp/B07S5XBJV7,"Natrol Fast Dissolve Melatonin 1 mg, Melatonin Supplements for Restful Sleep, Sleep Support for Adults, 200 Strawberry-Flavored Melatonin Tablets, Up to a 200 Day Supply",Dose provides assistance in obtaining quality sleep.  Higher dosage is not needed for most people to get to sleep quickly and stay asleep.,"October 12, 2024",4.0,1 mg dose is highly effective,T. Thompson,True
B07S5XBJV7,Natrol,1,,https://www.amazon.com/product-reviews/B07S5XBJV7?sortBy=helpful&reviewerType=all_reviews&filterByStar=all_stars&formatType=all_formats&mediaType=all_contents&pageNumber=1&language=en_US,R2JJD7ZMFEIAJU,https://www.amazon.com/dp/B07S5XBJV7,"Natrol Fast Dissolve Melatonin 1 mg, Melatonin Supplements for Restful Sleep, Sleep Support for Adults, 200 Strawberry-Flavored Melatonin Tablets, Up to a 200 Day Supply",These put me right to sleep. Great flavor. They dissolve. I always brush my teeth afterwards. 1mg is enough for me to drift off and get some zzzzzzz’s!,"November 1, 2024",5.0,Zzzzzzz,Nate & Bri,True
B07S5XBJV7,Natrol,3,,https://www.amazon.com/product-reviews/B07S5XBJV7?sortBy=helpful&reviewerType=all_reviews&filterByStar=all_stars&formatType=all_formats&mediaType=all_contents&pageNumber=1&language=en_US,RKCBN13PWTC0M,https://www.amazon.com/dp/B07S5XBJV7,"Natrol Fast Dissolve Melatonin 1 mg, Melatonin Supplements for Restful Sleep, Sleep Support for Adults, 200 Strawberry-Flavored Melatonin Tablets, Up to a 200 Day Supply","I’ve been using these for over a year and when push comes to shove and I need to get to sleep I take just a small amount and it puts me to bed. I literally take one tablet and break it into fourths and just eat 1/4 of a tablet and it does the trick I know it’s a very small amount, but it works for me. The taste is very subtle and it gets the job done. I travel for work and bring them with me. I will say they do kind of break apart and create dust dust at the bottle if the container with lots of shaking around in my suitcase, but it’s well worth the powdery mess to get a good nights sleep when I need it.","October 6, 2024",5.0,The backbone of my sleeping schedule,Tylerlogan7,True
B07S5XBJV7,Natrol,0,,https://www.amazon.com/product-reviews/B07S5XBJV7?sortBy=helpful&reviewerType=all_reviews&filterByStar=all_stars&formatType=all_formats&mediaType=all_contents&pageNumber=1&language=en_US,R2IG15Q7NWNGNM,https://www.amazon.com/dp/B07S5XBJV7,"Natrol Fast Dissolve Melatonin 1 mg, Melatonin Supplements for Restful Sleep, Sleep Support for Adults, 200 Strawberry-Flavored Melatonin Tablets, Up to a 200 Day Supply","I'm so silly, but I take 1/2 of these every night a half our before bed. It really does help. I love that it's fast dissolve, makes it easier to take if you can't swallow medications. I highly recommend this low dose melatonin brand.","October 31, 2024",5.0,Works great,Henny~Penny,True
B07S5XBJV7,Natrol,0,https://m.media-amazon.com/images/I/41-iifuv1yL._SY88.jpg;https://m.media-amazon.com/images/I/41HgWK4L0hL._SY88.jpg,https://www.amazon.com/product-reviews/B07S5XBJV7?sortBy=helpful&reviewerType=all_reviews&filterByStar=all_stars&formatType=all_formats&mediaType=all_contents&pageNumber=1&language=en_US,R14JTOTR33ZAEF,https://www.amazon.com/dp/B07S5XBJV7,"Natrol Fast Dissolve Melatonin 1 mg, Melatonin Supplements for Restful Sleep, Sleep Support for Adults, 200 Strawberry-Flavored Melatonin Tablets, Up to a 200 Day Supply","Melatonina de disolución rápida, te ayudan a dormir más rápido, permanecer dormido más tiempo, fácil de tomar, se disuelve en la boca, fortalece el sistema inmunológico, máxima fuerza, sabor a fresa","November 9, 2024",5.0,Melatonina,El ChavezEl Chavez,True
B07S5XBJV7,Natrol,0,,https://www.amazon.com/product-reviews/B07S5XBJV7?sortBy=helpful&reviewerType=all_reviews&filterByStar=all_stars&formatType=all_formats&mediaType=all_contents&pageNumber=1&language=en_US,R1DVLI7TS2K2LN,https://www.amazon.com/dp/B07S5XBJV7,"Natrol Fast Dissolve Melatonin 1 mg, Melatonin Supplements for Restful Sleep, Sleep Support for Adults, 200 Strawberry-Flavored Melatonin Tablets, Up to a 200 Day Supply","Muy buen producto, llego tal cual las características y lo mejor de todo llego en el tiempo establecido a Ecuador ciudad La Mana, estoy muy conforme.","November 10, 2024",5.0,MELATONINA - NATROL,Johnny Orlando Morales Salazar,True
